Accession,Species,Bacteria or Archaea,Genome Length (nt),Coding Length (nt),Non-coding Length (nt),Total Genes,Coding Genes,Total COGs,COGs/coding genes,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,Y,Z
NC_017192,Arcobacter sp. L,Bacteria,2947662,2740793,206869,2912,2821,2513,0.891,0,0,185,24,188,60,69,120,62,147,162,113,148,88,101,153,38,288,196,258,76,34,0,0,3
NC_013891,Listeria seeligeri serovar 1,Bacteria,2797636,2487844,309792,2770,2661,2509,0.943,0,0,115,34,206,74,240,105,61,155,220,114,105,46,68,121,43,297,288,105,46,65,0,0,1
NZ_LN681225,Legionella hackeliae,Bacteria,3570857,3161531,409326,3185,3069,2505,0.816,3,2,149,46,187,57,105,114,88,178,110,133,180,62,114,84,78,336,230,106,84,57,0,0,2
NZ_CP015810,Microbacterium chocolatum,Bacteria,3168630,2867269,301361,3025,2885,2500,0.867,1,0,136,22,240,82,205,102,103,152,208,186,116,3,76,136,63,320,183,91,35,40,0,0,0
NZ_CP011367,Thioalkalivibrio versutus,Bacteria,2969361,2601035,368326,2755,2670,2498,0.936,1,2,158,42,151,59,84,139,69,163,87,130,181,96,128,129,47,267,229,191,91,54,0,0,0
NC_007712,Sodalis glossinidius str. morsitans,Bacteria,4292502,3357139,935363,4654,3504,2498,0.713,1,0,112,30,188,65,163,117,63,155,192,161,180,75,85,132,31,279,263,83,99,22,2,0,0
NZ_CP007452,Peptoclostridium acidaminophilum DSM 3953,Bacteria,3055036,2657312,397724,2940,2798,2498,0.893,0,1,168,37,215,64,92,134,44,155,158,266,119,71,71,119,23,283,224,138,66,50,0,0,0
NC_015167,Cellulophaga lytica DSM 7489,Bacteria,3765936,3422016,343920,3311,3237,2497,0.771,0,0,134,25,207,58,140,117,86,162,189,109,195,4,108,177,31,325,221,130,33,45,0,0,1
NZ_CP011361,Salimicrobium jeotgali,Bacteria,2776927,2409316,367611,2839,2713,2497,0.920,0,1,143,30,217,75,136,90,107,163,185,166,130,42,91,112,58,314,265,96,40,36,0,0,0
NC_002942,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Bacteria,3397754,3012525,385229, , ,2496,#VALUE!,5,1,151,45,184,64,104,108,121,167,111,153,167,71,118,89,73,312,201,106,102,41,0,0,2
NC_015520,Mahella australiensis 50-1 BON,Bacteria,3135972,2832685,303287,2950,2853,2491,0.873,1,1,137,40,169,64,385,124,36,139,183,147,126,67,67,90,27,265,175,123,60,65,0,0,0
NC_007722,Erythrobacter litoralis HTCC2594,Bacteria,3052398,2783333,269065,2956,2885,2488,0.862,0,2,141,30,187,55,90,113,173,156,128,143,154,14,135,105,94,312,245,97,81,32,1,0,0
NC_015859,Corynebacterium variabile DSM 44702,Bacteria,3433007,3026442,406565,3155,2955,2485,0.841,1,0,158,23,218,86,132,123,118,149,198,207,97,2,72,194,68,290,211,72,28,38,0,0,0
NC_013501,Rhodothermus marinus DSM 4252,Bacteria,3386737,3075308,311429,2911,2842,2483,0.874,1,2,146,30,189,66,162,118,86,145,137,133,158,60,102,135,64,315,202,127,64,41,0,0,0
NC_007759,Syntrophus aciditrophicus SB,Bacteria,3179300,2746696,432604,2967,2862,2481,0.867,1,4,199,25,151,66,99,113,74,157,113,163,208,84,106,99,40,289,206,142,100,42,0,0,0
NC_015222,Nitrosomonas sp. AL212,Bacteria,3337023,2878069,458954,3156,3005,2479,0.825,1,1,130,41,145,51,75,101,68,158,130,300,147,79,127,128,61,245,197,147,107,40,0,0,0
NZ_CP007060,Halobacterium sp. DL1,Archaea,3162560,2737196,425364,3237,3127,2479,0.793,1,6,173,25,278,78,87,102,87,176,165,146,57,32,100,128,49,387,241,93,30,38,0,0,0
NC_019675,Cyanobium gracile PCC 6307,Bacteria,3342364,2957713,384651,3342,3203,2472,0.772,0,2,146,28,179,59,117,150,71,153,113,144,192,15,123,148,44,304,257,119,43,65,0,0,0
NC_016620,Halobacteriovorax marinus SJ,Bacteria,3437906,3198865,239041,3313,3249,2472,0.761,0,4,125,38,177,66,84,99,107,171,135,117,187,90,126,99,49,293,187,184,97,36,0,0,1
NZ_AP014724,Sulfurospirillum cavolei,Bacteria,2698323,2514798,183525,2713,2640,2470,0.936,0,0,222,34,202,55,69,120,48,146,130,116,149,102,95,144,25,285,172,245,72,38,0,0,1
NC_020802,Psychromonas sp. CNPT3,Bacteria,3052410,2565322,487088,2691,2557,2466,0.964,1,0,131,33,185,64,144,132,55,178,146,143,165,103,125,118,33,246,219,123,96,25,0,0,1
NZ_CP012808,Acinetobacter equi,Bacteria,3054269,2558580,495689,2876,2707,2463,0.910,1,0,152,30,213,72,90,114,133,168,135,118,165,56,101,122,70,306,224,67,96,27,3,0,0
NC_003450,Corynebacterium glutamicum ATCC 13032,Bacteria,3309401,2844627,464774, , ,2456,#VALUE!,1,1,141,25,219,75,188,136,77,154,199,140,114,5,88,184,50,296,211,79,27,46,0,0,0
NC_020302,Corynebacterium halotolerans YIM 70093 = DSM 44683,Bacteria,3222008,2791985,430023,2926,2789,2451,0.879,1,0,171,22,221,68,177,129,80,152,181,129,130,5,90,153,68,303,228,79,25,39,0,0,0
NC_008508,Leptospira borgpetersenii serovar Hardjo-bovis L550,Bacteria,3931782,3257952,673830,3667,3370,2450,0.727,0,2,128,29,155,59,85,117,93,172,116,213,217,89,104,88,28,268,187,186,77,36,0,0,1
NZ_AP014583,Winogradskyella sp. PG-2,Bacteria,3811479,3470691,340788,3425,3271,2447,0.748,1,2,114,24,208,62,125,108,85,170,155,115,247,12,99,109,49,330,221,107,43,61,0,0,0
NC_017080,Phycisphaera mikurensis NBRC 102666,Bacteria,3884382,3401585,482797,3186,3094,2439,0.788,0,2,109,28,176,61,181,100,64,137,121,128,224,84,89,126,55,320,194,92,110,38,0,0,0
NZ_CP007208,Staphylococcus xylosus,Bacteria,2866963,2404248,462715,2687,2553,2438,0.955,0,1,143,21,239,71,202,108,89,151,189,121,125,5,77,152,51,326,243,66,23,35,0,0,0
NZ_CP011265,Verrucomicrobia bacterium IMCC26134,Bacteria,4001000,3547956,453044,3039,2916,2438,0.836,1,1,116,28,189,65,232,114,76,156,123,127,218,30,87,120,47,276,193,104,91,39,0,0,5
NC_009464,Methanocella arvoryzae MRE50,Archaea,3179916,2646481,533435,3112,3018,2434,0.806,1,4,224,27,157,52,95,133,28,172,133,121,94,35,107,114,21,396,320,108,45,39,1,0,7
NC_014008,Coraliomargarita akajimensis DSM 45221,Bacteria,3750771,3330109,420662,3100,3018,2428,0.805,0,2,127,30,155,59,172,113,75,150,150,112,179,47,100,173,52,304,200,104,94,30,0,0,0
NZ_AP014690,Asaia bogorensis NBRC 16594,Bacteria,3198265,2796797,401468,2820,2670,2428,0.909,0,0,137,25,201,66,192,123,81,156,140,103,180,52,101,135,66,282,197,89,68,33,1,0,0
NC_015388,Desulfobacca acetoxidans DSM 11109,Bacteria,3282536,2786698,495838,2958,2850,2427,0.852,1,3,201,38,178,59,94,133,45,158,94,146,210,19,97,130,32,297,197,156,89,49,0,0,1
NZ_CP011805,Altererythrobacter marensis,Bacteria,2885033,2638361,246672,2721,2644,2426,0.918,0,2,141,25,182,54,86,103,159,157,143,99,153,63,109,127,79,279,236,98,95,33,3,0,0
NC_022533,Plautia stali symbiont,Bacteria,4092852,3491570,601282,4067,2729,2420,0.887,1,0,123,30,225,65,157,120,65,151,208,150,138,45,89,114,34,293,235,95,67,15,0,0,0
NZ_CP009268,Clostridium pasteurianum DSM 525 = ATCC 6013,Bacteria,4352101,3568276,783825,3980,3791,2416,0.637,1,1,128,45,180,90,205,103,60,165,169,127,159,18,75,115,25,299,251,105,40,53,0,0,2
NZ_CP013114,Staphylococcus equorum,Bacteria,2822193,2336520,485673,2702,2597,2416,0.930,0,1,140,20,222,73,207,112,83,156,193,122,114,4,73,156,47,318,250,59,23,43,0,0,0
NC_010168,Renibacterium salmoninarum ATCC 33209,Bacteria,3155250,2850199,305051,3221,2761,2416,0.875,2,1,103,21,224,71,202,110,112,158,229,227,103,4,79,117,73,274,162,73,34,37,0,0,0
NC_018876,Methanolobus psychrophilus R15,Archaea,3072769,2597709,475060,2961,2840,2416,0.851,2,4,169,27,168,59,77,155,25,168,150,196,96,51,102,121,19,354,271,118,36,48,0,0,0
NC_013222,Robiginitalea biformata HTCC2501,Bacteria,3530383,3225418,304965,3124,3043,2415,0.794,0,1,132,26,215,59,146,115,99,145,137,101,209,11,94,126,50,341,208,94,50,56,0,0,0
NC_014754,Sulfuricurvum kujiense DSM 16994,Bacteria,2819357,2614402,204955,2829,2743,2415,0.880,0,0,168,35,135,58,77,105,41,151,116,126,175,127,103,133,24,236,182,281,93,49,0,0,0
NC_014010,Candidatus Puniceispirillum marinum IMCC1322,Bacteria,2753527,2500372,253155,2602,2538,2412,0.950,0,2,155,18,344,59,173,144,82,154,112,114,128,48,96,89,67,312,174,66,52,23,0,0,0
NC_018870,Thermacetogenium phaeum DSM 12270,Bacteria,2939057,2473279,465778,2894,2766,2409,0.871,0,1,189,49,237,57,70,162,28,147,137,215,114,73,84,108,32,261,234,119,64,28,0,0,0
NZ_LN831302,Halobacterium hubeiense,Archaea,3130345,2638530,491815,3189,3102,2409,0.777,1,6,156,29,218,66,94,124,64,157,182,139,54,34,103,169,33,371,241,107,29,32,0,0,0
NC_011761,Acidithiobacillus ferrooxidans ATCC 23270,Bacteria,2982397,2663052,319345,3030,2894,2408,0.832,1,1,174,43,161,60,110,118,66,150,121,166,201,28,118,151,37,242,209,79,108,64,0,0,0
NZ_CP018199,Staphylococcus succinus,Bacteria,2745675,2303135,442540,2622,2518,2407,0.956,0,1,142,21,246,70,208,119,81,159,196,106,107,3,71,146,47,333,234,64,24,28,0,0,1
NC_004369,Corynebacterium efficiens YS-314,Bacteria,3219505,2804526,414979,2891,2793,2405,0.861,1,0,134,26,207,74,166,133,88,153,181,186,108,5,85,158,53,296,202,77,27,45,0,0,0
NZ_CP011849,Piscirickettsia salmonis LF-89 = ATCC VR-1361,Bacteria,3450064,2693643,756421,3455,3151,2403,0.763,1,3,91,49,161,55,95,95,62,160,91,507,137,87,89,76,28,211,194,107,79,25,0,0,0
NZ_LN614830,Tatlockia micdadei,Bacteria,3310028,2946732,363296,2946,2844,2402,0.845,2,1,156,37,174,64,96,113,104,165,97,120,184,77,113,82,71,304,194,117,97,32,0,0,2
NC_014216,Desulfurivibrio alkaliphilus AHT 2,Bacteria,3097763,2753506,344257,2707,2613,2402,0.919,0,3,183,35,147,57,79,128,49,163,116,136,161,110,101,122,29,247,161,237,96,42,0,0,0
NC_015164,Bacteroides salanitronis DSM 18170,Bacteria,4308663,3751507,557156,3755,3593,2401,0.668,2,0,116,43,148,72,192,99,68,155,167,217,203,8,67,119,30,327,156,89,66,57,0,0,0
NC_007677,Salinibacter ruber DSM 13855,Bacteria,3587328,3044361,542967, , ,2397,#VALUE!,0,2,130,33,198,71,108,115,79,139,118,154,162,62,103,127,56,289,190,148,62,50,0,0,1
NC_007614,Nitrosospira multiformis ATCC 25196,Bacteria,3234309,2763577,470732,2944,2826,2397,0.848,2,1,168,35,159,53,96,105,73,149,101,181,194,65,131,113,66,241,213,119,97,34,0,0,1
NC_002754,Sulfolobus solfataricus P2,Archaea,2992245,2558461,433784,3145,2896,2387,0.824,2,5,172,19,219,68,138,111,85,172,127,274,79,15,80,110,52,397,195,22,21,24,0,0,0
NC_014734,Paludibacter propionicigenes WB4,Bacteria,3685504,3199478,486026,3040,2957,2387,0.807,1,1,116,26,178,63,188,126,71,155,147,109,246,13,90,152,25,297,173,107,50,53,0,0,0
NZ_CP005986,Acidithiobacillus caldus ATCC 51756,Bacteria,2987045,2648484,338561,2941,2817,2386,0.847,1,1,179,42,146,56,107,98,52,147,110,228,194,99,116,109,29,209,204,107,116,36,0,0,0
NC_014718,Paraburkholderia rhizoxinica HKI 454,Bacteria,3750138,3100512,649626,3209,2919,2386,0.817,2,1,139,36,186,59,94,114,102,160,154,185,162,26,101,93,86,278,214,88,74,30,2,0,0
NC_021313,Salinarchaeum sp. Harcht-Bsk1,Archaea,3255260,2671614,583646,3036,2925,2375,0.812,1,4,150,24,202,57,137,116,83,166,147,101,77,37,98,113,42,412,228,111,31,38,0,0,0
NC_015565,Desulfotomaculum nigrificans CO-1-SRB,Bacteria,2892255,2469571,422684,2805,2658,2372,0.892,0,1,212,44,217,61,101,132,37,152,140,158,125,70,85,100,26,255,229,144,61,22,0,0,0
NC_017098,Spirochaeta africana DSM 8902,Bacteria,3285855,3056774,229081,2839,2748,2371,0.863,0,0,109,28,179,59,183,67,56,156,143,131,143,92,97,106,27,271,180,239,57,48,0,0,0
NC_014836,Desulfurispirillum indicum S5,Bacteria,2928377,2595229,333148,2705,2616,2366,0.904,1,1,164,31,146,60,75,126,56,142,114,140,144,117,99,142,28,235,167,259,84,34,0,0,1
NC_013166,Kangiella koreensis DSM 16069,Bacteria,2852073,2562895,289178,2669,2601,2361,0.908,1,0,146,29,206,53,51,115,87,176,136,114,144,45,136,121,58,249,237,135,88,33,0,0,1
NC_018013,Aequorivita sublithincola DSM 14238,Bacteria,3520671,3155283,365388,3196,3126,2359,0.755,0,1,122,20,187,60,72,107,102,160,144,122,220,7,117,109,54,315,236,110,41,52,1,0,0
NC_015738,Eggerthella sp. YY7918,Bacteria,3123671,2745546,378125,2636,2522,2356,0.934,1,1,243,35,176,53,87,73,85,137,292,106,107,18,67,112,56,242,182,176,43,64,0,0,0
NC_004757,Nitrosomonas europaea ATCC 19718,Bacteria,2812094,2492871,319223,2687,2572,2354,0.915,1,0,127,49,142,51,80,104,61,152,123,212,170,87,107,161,39,232,183,123,101,49,0,0,0
NC_020156,Nonlabens dokdonensis DSW-6,Bacteria,3914632,3523452,391180,3432,3361,2349,0.699,0,1,109,27,158,57,103,102,84,164,136,130,229,9,116,103,60,326,236,104,38,57,0,0,0
NZ_CP007445,Gilliamella apicola,Bacteria,3139412,2622179,517233,2803,2689,2349,0.874,1,0,91,30,201,66,265,104,52,154,178,144,145,45,89,118,24,253,196,73,77,42,0,0,1
NC_022878,Enterococcus mundtii QU 25,Bacteria,3351060,2818406,532654,3177,2985,2345,0.786,1,0,82,36,154,77,276,60,59,159,233,159,122,20,55,108,31,266,256,93,45,53,0,0,0
NC_021921,Halorhabdus tiamatea SARL4B,Archaea,3146160,2685716,460444,3072,2983,2336,0.783,1,3,142,34,169,63,143,98,41,163,185,191,55,34,106,133,22,352,240,90,25,46,0,0,0
NZ_AP012541,Lactobacillus paracasei subsp. paracasei JCM 8130,Bacteria,3017804,2551670,466134,2960,2792,2336,0.837,0,0,98,26,181,81,250,56,57,150,192,232,122,8,62,104,24,292,227,74,24,76,0,0,0
NZ_CP011071,Muricauda lutaonensis,Bacteria,3274259,2992500,281759,3030,2955,2332,0.789,0,2,113,21,192,61,121,107,88,152,146,138,199,7,104,116,47,315,210,102,46,44,1,0,0
NC_010674,Clostridium botulinum B str. Eklund 17B (NRP),Bacteria,3847969,3156002,691967,3505,3348,2332,0.697,2,1,116,43,151,68,152,85,66,165,175,221,131,84,74,96,21,250,183,149,47,51,0,0,1
NC_014614,Clostridium sticklandii,Bacteria,2715461,2427332,288129,2625,2476,2330,0.941,0,1,157,34,242,60,104,119,50,166,152,120,105,78,70,123,26,262,209,163,45,44,0,0,0
NC_021082,Mannheimia haemolytica M42548,Bacteria,2731870,2418879,312991,2773,2633,2321,0.882,1,0,131,28,190,67,185,108,47,163,140,184,146,10,96,127,27,282,243,52,58,31,5,0,0
NC_015737,Clostridium sp. SY8519,Bacteria,2835737,2493978,341759,2619,2520,2319,0.920,0,1,151,32,178,64,100,90,57,157,180,152,141,73,71,126,29,270,209,142,41,54,0,0,1
NC_011959,Thermomicrobium roseum DSM 5159,Bacteria,2920744,2560139,360605,2664,2559,2319,0.906,0,2,184,28,285,61,152,115,82,140,112,98,121,49,92,109,53,298,179,83,47,29,0,0,0
NC_018002,Sulfurospirillum barnesii SES-3,Bacteria,2510109,2355686,154423,2541,2478,2319,0.936,0,0,202,31,200,54,65,125,48,143,109,111,139,101,93,152,34,251,159,206,69,26,0,0,1
NC_019954,Tepidanaerobacter acetatoxydans Re1,Bacteria,2761252,2408027,353225,2643,2539,2317,0.913,0,1,142,36,252,55,226,86,44,141,182,136,102,66,63,80,28,252,203,124,53,44,0,0,1
NC_013158,Halorhabdus utahensis DSM 12940,Archaea,3116795,2665284,451511,2969,2893,2316,0.801,1,4,157,29,165,62,117,109,46,158,168,117,81,35,103,134,27,359,248,126,25,45,0,0,0
NZ_CP004350,Corynebacterium casei LMG S-19264,Bacteria,3132213,2725313,406900,2850,2706,2311,0.854,1,1,120,22,225,74,144,115,77,146,190,204,105,1,68,162,53,251,189,82,29,52,0,0,0
NC_014414,Parvularcula bermudensis HTCC2503,Bacteria,2902643,2613639,289004,2687,2601,2306,0.887,0,1,111,29,155,59,67,113,88,143,109,119,190,53,114,124,57,259,247,116,115,36,0,0,1
NC_013165,Slackia heliotrinireducens DSM 20476,Bacteria,3165038,2715809,449229,2810,2697,2306,0.855,0,1,232,29,159,56,76,107,72,142,236,159,95,5,85,105,35,352,180,103,27,50,0,0,0
NC_013198,Lactobacillus rhamnosus GG,Bacteria,3010111,2531791,478320,2817,2703,2306,0.853,0,0,87,30,190,82,282,54,56,150,208,161,117,10,59,104,26,295,218,75,22,80,0,0,0
NC_007644,Moorella thermoacetica ATCC 39073,Bacteria,2628784,2264601,364183, , ,2305,#VALUE!,1,1,208,45,196,58,119,138,44,146,165,139,101,66,85,102,28,238,219,111,63,31,0,0,1
NZ_CP009220,Corynebacterium deserti GIMN1.010,Bacteria,3033893,2612910,420983,2780,2628,2303,0.876,2,0,127,23,217,78,189,126,72,148,181,146,111,3,78,159,50,281,176,73,27,36,0,0,0
NC_003869,Caldanaerobacter subterraneus subsp. tengcongensis MB4,Bacteria,2689445,2388277,301168,2652,2494,2301,0.923,0,2,131,42,212,62,163,74,58,153,155,164,114,73,83,101,28,271,193,121,53,48,0,0,0
NZ_CP012371,Nitrosospira briensis C-128,Bacteria,3210113,2694656,515457,2928,2799,2297,0.821,1,1,168,34,151,56,97,106,79,152,95,136,195,56,128,111,61,247,202,110,77,33,0,0,1
NC_015416,Methanosaeta concilii GP6,Archaea,3026645,2579613,447032,2998,2883,2295,0.796,2,7,175,23,150,58,62,138,33,163,109,246,87,13,93,170,23,347,294,42,22,38,0,0,0
NC_017856,Methylophaga frappieri,Bacteria,2745290,2533117,212173,2645,2557,2293,0.897,1,1,121,33,150,52,84,122,50,159,128,131,162,85,107,130,36,222,205,159,117,38,0,0,0
NC_020134,Clostridium stercorarium subsp. stercorarium DSM 8532,Bacteria,2974379,2606377,368002,2617,2535,2292,0.904,0,2,108,35,186,58,274,67,45,154,165,149,120,78,64,98,17,260,164,141,52,55,0,0,0
NC_009437,Caldicellulosiruptor saccharolyticus DSM 8903,Bacteria,2970275,2628879,341396,2825,2628,2290,0.871,0,2,109,43,169,56,222,101,34,148,172,196,116,74,61,76,15,260,190,150,46,47,0,0,3
NC_014410,Thermoanaerobacterium thermosaccharolyticum DSM 571,Bacteria,2785752,2448686,337066,2732,2568,2290,0.892,0,0,123,43,174,60,226,94,45,158,172,147,110,61,78,88,29,261,208,109,53,49,0,0,2
NZ_CP007033,Dehalobacter restrictus DSM 9455,Bacteria,2943336,2515412,427924,2807,2645,2284,0.864,0,1,169,47,165,56,62,119,39,144,176,167,144,70,78,106,25,249,195,160,67,45,0,0,0
NZ_AP014568,Comamonadaceae bacterium A1,Bacteria,2574013,2334982,239031,2384,2265,2284,1.008,1,2,153,33,185,46,83,115,104,154,127,113,118,89,105,112,49,258,181,136,84,36,0,0,0
NC_007168,Staphylococcus haemolyticus JCSC1435,Bacteria,2697861,2301012,396849,2593,2470,2283,0.924,0,1,120,27,195,70,164,104,64,154,172,183,119,4,67,142,34,305,231,61,26,40,0,0,0
NC_008789,Halorhodospira halophila SL1,Bacteria,2678452,2424056,254396,2458,2375,2281,0.960,1,1,169,36,158,46,74,152,73,152,84,135,142,95,106,128,40,235,173,165,87,28,0,0,1
NC_011026,Chloroherpeton thalassium ATCC 35110,Bacteria,3293456,2867929,425527,2843,2751,2279,0.828,0,0,171,29,153,60,91,148,68,141,86,106,210,19,109,129,36,314,173,140,50,44,0,0,2
NC_020388,Natronomonas moolapensis 8.8.11,Archaea,2912573,2469389,443184,2891,2741,2278,0.831,0,3,141,33,178,69,58,124,61,155,168,191,44,38,103,131,33,325,245,127,26,25,0,0,0
NC_010337,Heliobacterium modesticaldum Ice1,Bacteria,3075407,2598103,477304,2827,2642,2277,0.862,0,2,170,33,188,58,87,131,48,147,136,164,122,97,81,86,21,248,195,162,58,43,0,0,0
NC_014654,Halanaerobium hydrogeniformans,Bacteria,2613117,2326339,286778,2447,2322,2276,0.980,0,0,152,26,206,78,197,110,39,139,133,183,141,28,70,126,30,254,187,113,45,19,0,0,0
NC_008526,Lactobacillus paracasei ATCC 334,Bacteria,2924325,2402574,521751, , ,2272,#VALUE!,0,0,100,27,180,81,233,53,59,153,187,226,107,6,57,99,28,295,218,71,22,70,0,0,0
NZ_CP011387,Deinococcus puniceus,Bacteria,2971983,2517226,454757,2759,2680,2272,0.848,0,2,126,28,229,83,146,90,86,159,121,109,111,20,106,83,43,315,231,102,46,36,0,0,0
NZ_CP014016,Staphylococcus simulans,Bacteria,2647552,2281593,365959,2508,2390,2271,0.950,0,1,135,22,211,70,162,104,64,151,162,129,128,6,71,151,33,293,248,69,23,38,0,0,0
NC_017934,Mesotoga prima MesG1.Ag.4.2,Bacteria,2975953,2556308,419645,2739,2636,2271,0.862,0,2,142,22,253,61,293,55,42,142,128,132,98,11,68,128,27,330,173,89,27,48,0,0,0
NC_012968,Methylotenera mobilis JLW8,Bacteria,2547570,2277860,269710,2373,2310,2269,0.982,1,2,141,28,137,50,97,110,51,153,126,101,163,110,115,121,30,220,188,174,123,27,0,0,1
NZ_CP008889,Dermacoccus nishinomiyaensis,Bacteria,3113642,2699231,414411,2824,2695,2268,0.842,1,1,135,26,211,76,142,120,108,156,148,163,118,2,76,124,51,277,188,81,27,37,0,0,0
NC_007776,Synechococcus sp. JA-2-3Ba(2-13),Bacteria,3046682,2600407,446275,2830,2720,2268,0.834,0,2,144,42,186,59,95,143,41,142,98,192,118,23,122,156,36,286,190,122,44,27,0,0,0
NC_008344,Nitrosomonas eutropha C91,Bacteria,2781824,2427309,354515,2694,2569,2267,0.882,1,1,149,41,141,52,85,97,63,152,93,266,156,77,122,112,53,214,157,85,110,40,0,0,0
NC_006677,Gluconobacter oxydans 621H,Bacteria,2922384,2609677,312707,2781,2606,2263,0.868,1,0,120,29,188,68,133,94,70,151,130,209,179,41,95,112,44,241,188,77,63,30,0,0,0
NC_012589,Sulfolobus islandicus L.S.2.15,Archaea,2736272,2407159,329113,2961,2767,2263,0.818,2,4,178,18,205,62,124,112,98,170,143,174,90,16,77,105,57,386,175,24,22,21,0,0,0
NC_015958,Thermoanaerobacter wiegelii Rt8.B1,Bacteria,2785056,2440138,344918,2717,2432,2263,0.931,0,1,138,49,198,62,211,98,46,151,150,146,111,70,72,92,19,245,198,117,56,33,0,0,0
NC_013223,Desulfohalobium retbaense DSM 5692,Bacteria,2909567,2435833,473734,2538,2440,2261,0.927,0,2,198,33,194,53,104,105,44,148,100,141,148,80,102,100,23,235,168,181,84,18,0,0,0
NC_014828,Ethanoligenens harbinense YUAN-3,Bacteria,3008576,2575519,433057,2831,2708,2259,0.834,0,1,94,31,188,59,151,93,56,146,195,154,150,55,75,112,28,265,181,109,47,68,0,0,1
NZ_CP007151,Marinobacter similis,Bacteria,3975896,3596344,379552,3702,2538,2259,0.890,0,5,109,32,173,45,89,92,104,128,150,78,138,86,107,107,60,254,197,187,96,22,0,0,0
NC_015638,Lacinutrix sp. 5H-3-7-4,Bacteria,3296168,3020124,276044,2974,2914,2258,0.775,0,0,115,26,183,59,89,109,91,167,152,125,205,11,89,112,41,304,201,99,42,36,0,0,2
NZ_CP015125,Dokdonia donghaensis DSW-1,Bacteria,3293944,2989381,304563,2907,2838,2258,0.796,0,1,104,24,212,55,117,97,81,156,140,116,207,7,93,111,39,323,196,100,37,41,0,0,1
NC_007426,Natronomonas pharaonis DSM 2160,Archaea,2749696,2450239,299457,2798,2722,2256,0.829,1,4,139,26,204,64,64,130,96,160,135,143,56,49,105,119,45,321,222,123,29,21,0,0,0
NZ_CP015114,Staphylococcus condimenti,Bacteria,2659676,2289405,370271,2553,2427,2255,0.929,1,1,124,22,210,68,153,115,68,150,167,118,126,4,74,142,35,307,250,58,26,36,0,0,0
NZ_CP012033,Lactobacillus koreensis,Bacteria,3006812,2393542,613270,2714,2608,2255,0.865,0,0,94,30,131,74,207,59,53,151,225,218,137,6,57,102,29,282,223,97,22,58,0,0,0
NC_017448,Fibrobacter succinogenes subsp. succinogenes S85,Bacteria,3843004,3498270,344734,3159,3078,2254,0.732,1,1,99,40,177,61,161,99,71,162,121,149,223,31,79,76,39,280,167,112,67,38,0,0,0
NC_013893,Staphylococcus lugdunensis HKU09-01,Bacteria,2658366,2254903,403463,2513,2410,2254,0.935,0,2,116,23,192,69,165,109,61,150,172,118,123,7,71,175,42,286,222,67,31,53,0,0,0
NC_011832,Methanosphaerula palustris E1-9c,Archaea,2922917,2493446,429471,2798,2680,2253,0.841,3,3,190,17,164,58,77,147,29,147,135,98,81,47,84,117,18,352,260,160,25,41,0,0,0
NC_007350,Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305,Bacteria,2577899,2150803,427096,2498,2337,2249,0.962,0,1,127,23,220,68,168,106,73,153,173,128,117,7,73,148,31,295,227,51,24,36,0,0,0
NC_007795,Staphylococcus aureus subsp. aureus NCTC 8325,Bacteria,2821361,2352093,469268, , ,2244,#VALUE!,0,1,112,28,227,71,164,103,65,148,153,120,119,9,77,151,36,287,240,61,29,43,0,0,0
NC_016940,Saprospira grandis str. Lewin,Bacteria,4400185,3738579,661606,4016,3791,2243,0.592,0,1,106,35,131,57,54,99,89,161,112,159,222,26,126,95,35,315,227,88,55,50,0,0,0
NC_019978,Halobacteroides halobius DSM 5150,Bacteria,2649255,2331666,317589,2585,2459,2237,0.910,0,1,122,25,168,74,215,108,37,136,138,135,164,81,68,107,17,243,201,106,57,34,0,0,0
NC_020291,Clostridium saccharoperbutylacetonicum N1-4(HMT),Bacteria,6666445,5507522,1158923,5784,5649,2236,0.396,0,0,192,29,202,71,119,131,80,143,200,148,102,10,69,92,34,294,158,92,30,38,1,0,1
NZ_CP012384,Enterococcus durans,Bacteria,3071879,2537507,534372,2929,2569,2234,0.870,0,0,66,32,149,75,215,53,55,151,185,271,118,10,56,119,22,252,239,79,26,61,0,0,0
NC_011060,Pelodictyon phaeoclathratiforme BU-1,Bacteria,3018238,2636772,381466,2877,2736,2234,0.817,0,0,170,34,145,55,83,122,61,136,112,177,194,10,86,104,28,296,237,77,56,51,0,0,0
NC_015460,Gallibacterium anatis UMN179,Bacteria,2694139,2397928,296211,2524,2397,2231,0.931,1,0,131,30,189,61,172,112,53,158,133,190,130,17,89,114,29,257,203,53,65,39,5,0,0
NZ_AP014569,Comamonadaceae bacterium B1,Bacteria,2623236,2360751,262485,2409,2279,2230,0.978,1,2,150,31,184,47,93,113,95,152,132,117,116,76,99,118,44,238,180,131,73,38,0,0,0
NZ_CP009251,Corynebacterium stationis,Bacteria,2862233,2525276,336957,2650,2489,2228,0.895,1,0,127,21,238,71,141,128,69,148,176,133,118,2,76,154,54,250,194,69,26,32,0,0,0
